,sample,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8
275,aug_run13_6_46,0.260862106,0.240139285,0.264685354,0.190479254,0.231900379,0.346724743,0.314445038,0.373692417
276,aug_run13_7_47,0.678968752,0.599302041,0.622902648,0.837278364,0.477036521,0.932906461,0.738243734,0.279872616
277,aug_run13_8_48,0.654940743,0.582710602,0.605122701,0.806780671,0.467944071,0.902175462,0.718722388,0.222747735
278,aug_run13_9_49,0.241791694,0.226948953,0.208232189,0.223413825,0.184424973,0.257061804,0.216022285,0.221572821
279,aug_run14_1_51,0.320196845,0.27301218,0.327418485,0.281190694,0.298184223,0.419071026,0.440388645,0.419863218
280,aug_run14_10_60,0.226986267,0.207136262,0.22429394,0.25518653,0.183702519,0.254324852,0.227492944,0.221398202
281,aug_run14_2_52,0.314042273,0.261804365,0.319705093,0.274759856,0.293977699,0.410307493,0.402139646,0.474090867
282,aug_run14_3_53,0.357655233,0.37383626,0.346254103,0.270954715,0.352661693,0.342372341,0.295648448,0.269143031
283,aug_run14_4_54,0.346319789,0.36189909,0.338215998,0.264361659,0.341400962,0.334401571,0.283659101,0.212647859
284,aug_run14_7_57,0.177056796,0.132458042,0.223300285,0.144010403,0.183607658,0.204760196,0.17550705,0.326849649
285,aug_run14_8_58,0.173068537,0.127677885,0.218828219,0.14239543,0.177177588,0.200483647,0.167925874,0.293175652
286,aug_run14_9_59,0.234636223,0.214231524,0.231414261,0.259948268,0.193710041,0.268873084,0.219331701,0.238381411
287,aug_run15_1_61,0.417584755,0.380834873,0.381889367,0.446582982,0.345355638,0.434429394,0.313822809,0.18258375
288,aug_run15_2_62,0.404166161,0.370910592,0.369028635,0.433649084,0.33998016,0.421614054,0.306662808,0.155296717
289,aug_run15_3_63,0.279863151,0.243067014,0.271308588,0.253469717,0.221000292,0.335807127,0.280192332,0.277955357
290,aug_run15_4_64,0.273144848,0.237118819,0.262680156,0.244995929,0.217244601,0.326857696,0.273930972,0.255212968
291,aug_run2_1_65,0.296828214,0.251779026,0.297482077,0.244159397,0.284407195,0.369874793,0.536983204,0.643193496
292,aug_run2_10_74,0.111106448,0.101371158,0.109915005,0.073264445,0.097302982,0.185136962,0.439112987,0.939099016
293,aug_run2_2_66,0.284183125,0.246195241,0.288830749,0.218400486,0.273876831,0.375254221,0.607722761,0.827677734
294,aug_run2_3_67,0.164876813,0.113854618,0.205008434,0.139238807,0.17152309,0.158921111,0.154489284,0.225320409
295,aug_run2_4_68,0.156381625,0.113787887,0.19230544,0.1324962,0.170833631,0.157039945,0.156416162,0.208595275
296,aug_run2_5_69,0.411738994,0.352245595,0.398101739,0.471633234,0.342810874,0.476939382,0.457024117,0.267232171
297,aug_run2_6_70,0.393520626,0.342731453,0.385866561,0.454587316,0.327621813,0.454241179,0.444509318,0.259635491
298,aug_run2_7_71,0.572837735,0.48997052,0.575008846,0.813979245,0.434224692,0.832624814,0.677258987,0.28173289
299,aug_run2_8_72,0.550451254,0.475098886,0.557609448,0.786624043,0.422019031,0.805205986,0.704953882,0.382495734
300,aug_run3_1_75,0.319493825,0.337055651,0.312817114,0.257160926,0.324230564,0.283825449,0.257405125,0.022888244
301,aug_run3_10_84,0.224503454,0.211594397,0.200126223,0.216671348,0.179514146,0.241906575,0.207754624,0.084282169
302,aug_run3_2_76,0.292900123,0.305725047,0.288722582,0.237717329,0.302499981,0.246920743,0.228606953,0.054776297
303,aug_run3_5_79,0.251691859,0.231000323,0.259917543,0.189336418,0.225841429,0.318902147,0.300726635,0.209529188
304,aug_run3_6_80,0.243090242,0.219529667,0.25011589,0.183691443,0.223052831,0.309233728,0.292701953,0.197795446
305,aug_run3_7_81,0.756669278,0.702489561,0.603036117,0.685247443,0.531535319,0.93443895,0.758510206,0.159385888
306,aug_run3_8_82,0.734956184,0.678988793,0.589559682,0.669074962,0.514495682,0.910827329,0.741445661,0.177544426
307,aug_run3_9_83,0.232200713,0.212239257,0.198730102,0.208936423,0.18771075,0.243068826,0.230489647,0.078707018
308,aug_run4_1_85,0.08936649,0.093651175,0.080353711,0.065361255,0.092371178,0.131222995,0.172217483,0.226851867
309,aug_run4_10_94,0.236585566,0.224613271,0.238093199,0.267707195,0.212883921,0.258643194,0.207428523,0.096488072
310,aug_run4_2_86,0.086635215,0.088581487,0.079192431,0.055767005,0.08800637,0.147629404,0.142871965,0.220771404
311,aug_run4_3_87,0.219673084,0.217962567,0.183664525,0.205759109,0.179118248,0.233760029,0.203812593,0.231731332
312,aug_run4_4_88,0.208252165,0.207587725,0.172847402,0.194017792,0.176294552,0.226103497,0.204652983,0.187710733
313,aug_run4_5_89,0.220047946,0.217742686,0.200533089,0.178682103,0.187999212,0.244530315,0.167844263,0.124079077
314,aug_run4_6_90,0.214329292,0.209061062,0.191867482,0.173184324,0.182869819,0.232790055,0.187402638,0.127513948
315,aug_run4_7_91,0.120306453,0.118084901,0.10953077,0.085524659,0.117066911,0.169744286,0.187406435,0.590012551
316,aug_run4_8_92,0.118046305,0.113085663,0.10508075,0.084415044,0.111740224,0.165971451,0.183947248,0.610003948
317,aug_run4_9_93,0.246526976,0.230585961,0.241847247,0.281791525,0.220287088,0.25315705,0.191065855,0.135173469
318,aug_run5_1_95,0.141541083,0.122414833,0.127554922,0.12722866,0.133638813,0.148013854,0.11885763,0.217382499
319,aug_run5_2_96,0.134400436,0.11336689,0.126746688,0.126779668,0.125157833,0.146177467,0.098949903,0.170060031
320,aug_run5_3_97,0.178165726,0.14479785,0.186925467,0.117739932,0.169819405,0.25102955,0.249961087,0.323882996
321,aug_run5_4_98,0.179249679,0.136867241,0.185443327,0.116240805,0.175431945,0.257700217,0.248138237,0.331814297
322,aug_run6_10_108,0.551729688,0.476749644,0.55130898,0.807423525,0.415946709,0.789688858,0.630399052,0.224865432
323,aug_run6_3_101,0.264419608,0.263262002,0.229103123,0.291426822,0.214467235,0.258147249,0.267613124,0.455000027
324,aug_run6_4_102,0.252000643,0.249849685,0.219484851,0.274110466,0.206271231,0.254206247,0.256212157,0.412837732
325,aug_run6_5_103,0.419072957,0.368899555,0.405923415,0.490232126,0.334462331,0.489042145,0.433008698,0.337957143
326,aug_run6_6_104,0.398864109,0.349648169,0.383538346,0.469724964,0.323803636,0.459120598,0.424650183,0.289776227
327,aug_run6_7_105,0.154075224,0.11767913,0.196626259,0.144196582,0.158156006,0.151351889,0.134090385,0.260108596
328,aug_run6_8_106,0.154945951,0.121089221,0.197440953,0.159010031,0.153997657,0.150113342,0.131710903,0.256351146
329,aug_run6_9_107,0.566775862,0.493372077,0.572661832,0.828731978,0.420968486,0.811385249,0.653964749,0.271088589
330,aug_run7_1_110,0.096223807,0.078375488,0.105907293,0.087531402,0.08012988,0.12192411,0.138491218,0.213948128
331,aug_run7_10_119,0.288183873,0.24384492,0.290189281,0.243564103,0.282474765,0.364949433,0.388283591,0.29749761
332,aug_run7_2_111,0.091629249,0.073230407,0.103555791,0.076266838,0.075241461,0.136716523,0.189852131,0.281659307
333,aug_run7_3_112,0.246333551,0.203169369,0.247882079,0.193741963,0.199127588,0.309735112,0.289826552,0.353101486
334,aug_run7_4_113,0.237861358,0.193738249,0.239611284,0.189006549,0.197805448,0.3074258,0.291514661,0.282600376
335,aug_run7_7_116,0.399900871,0.368084676,0.383549158,0.423979229,0.346251338,0.406727414,0.324470587,0.134724634
336,aug_run7_8_117,0.380401545,0.353868603,0.369967907,0.406776104,0.326066779,0.388960645,0.321236098,0.152564279
337,aug_run7_9_118,0.301768994,0.249552748,0.302674401,0.256797711,0.292664717,0.375859043,0.404744747,0.31116695
338,aug_run8_1_121,0.208539724,0.208300427,0.192715848,0.180878878,0.17961064,0.224996702,0.17939614,0.15242521
339,aug_run8_10_130,0.184605334,0.181198181,0.169766642,0.184484666,0.152320141,0.19057792,0.183855753,0.192320492
340,aug_run8_2_122,0.191880984,0.194560982,0.183617722,0.169760688,0.163292008,0.215537303,0.170185566,0.167929988
341,aug_run8_5_125,0.188471024,0.188951198,0.19240989,0.224514678,0.163877293,0.213788465,0.181304369,0.13303027
342,aug_run8_6_126,0.182875451,0.181495748,0.187237073,0.210318191,0.161873707,0.22018304,0.303691675,0.20342473
343,aug_run8_9_129,0.192365635,0.190566823,0.172159884,0.183928552,0.162124402,0.199669058,0.195393973,0.242836623
344,aug_run9_10_141,0.231463314,0.232183246,0.195315346,0.224551277,0.196051335,0.242639839,0.215284269,0.240438523
345,aug_run9_3_134,0.255100506,0.227758665,0.253738071,0.180618646,0.236737456,0.333114523,0.296292179,0.338522616
346,aug_run9_4_135,0.24590162,0.224353782,0.250556884,0.184172918,0.227636263,0.32736099,0.276561383,0.321326849
347,aug_run9_5_136,0.763883416,0.71570025,0.612395416,0.680204916,0.541636315,0.936804693,0.710493465,0.203721993
348,aug_run9_6_137,0.730217519,0.687884074,0.593562371,0.64127324,0.523919318,0.910917787,0.71086797,0.239459471
349,aug_run9_7_138,0.258121411,0.244724181,0.250955589,0.298350029,0.231956187,0.273934956,0.212740193,0.140251268
350,aug_run9_8_139,0.253454095,0.237495584,0.247713025,0.298344334,0.2283363,0.266546578,0.22014319,0.150263302
351,aug_run9_9_140,0.238109678,0.235296628,0.200584942,0.231331088,0.197320758,0.251553696,0.212161907,0.250371612
352,dec_run1_1_1,0.152677271,0.12546985,0.192425003,0.239180971,0.1570361,0.243635621,0.09988345,0.080051957
353,dec_run1_10_10,0.503929501,0.477215807,0.54480745,0.387301217,0.546255587,0.425732213,0.318652812,0.22169027
